name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Clostridioides sp. ES-S-0010-02	2770776	S	13	0	13	0.00000
Romboutsia sp. CE17	2724150	S	1045	284	1329	0.00015
Romboutsia sp. 13368	2708053	S	713	0	713	0.00008
Romboutsia ilealis	1115758	S	801	227	1028	0.00011
Romboutsia hominis	1507512	S	650	149	799	0.00009
Terrisporobacter hibernicus	2813371	S	2000	0	2000	0.00022
Paeniclostridium sordellii	1505	S	1075	138	1213	0.00013
Peptacetobacter hiranonis	89152	S	939	62	1001	0.00011
Tepidibacter sp. SWIR-1	3036126	S	420	0	420	0.00005
Tepidibacter sp. 8C15b	2925782	S	291	0	291	0.00003
Peptoclostridium acidaminophilum	1731	S	620	6	626	0.00007
Peptostreptococcus sp. CBA3647	3003601	S	597	0	597	0.00007
Filifactor alocis	143361	S	496	35	531	0.00006
Acetoanaerobium sticklandii	1511	S	330	3	333	0.00004
Aristaeella hokkaidonensis	3046382	S	3014	0	3014	0.00033
Aristaeella lactis	3046383	S	2725	0	2725	0.00030
Desulfitobacterium hafniense	49338	S	679	54	733	0.00008
Desulfitobacterium dehalogenans	36854	S	314	28	342	0.00004
Desulfitobacterium dichloroeliminans	233055	S	243	27	270	0.00003
Desulfitobacterium metallireducens	142877	S	212	7	219	0.00002
Desulfosporosinus acidiphilus	885581	S	354	8	362	0.00004
Desulfosporosinus orientis	1563	S	319	8	327	0.00004
Desulfosporosinus youngiae	339862	S	314	12	326	0.00004
Desulfosporosinus meridiei	79209	S	203	11	214	0.00002
Dehalobacter sp. CF	1131462	S	61	516	577	0.00006
Dehalobacter restrictus	55583	S	302	76	378	0.00004
Syntrophobotulus glycolicus	51197	S	449	1	450	0.00005
Desulforamulus ruminis	1564	S	548	1	549	0.00006
Desulforamulus ferrireducens	1833852	S	313	11	324	0.00004
Desulforamulus reducens	59610	S	137	0	137	0.00002
Dehalobacterium formicoaceticum	51515	S	496	9	505	0.00006
Acididesulfobacillus acetoxydans	1561005	S	375	0	375	0.00004
Candidatus Formimonas warabiya	1761012	S	327	0	327	0.00004
Thermanaerosceptrum fracticalcis	1712410	S	263	2	265	0.00003
Candidatus Desulforudis audaxviator	471827	S	186	0	186	0.00002
Desulfofarcimen acetoxidans	58138	S	167	0	167	0.00002
Maliibacterium massiliense	2086585	S	2438	78	2516	0.00028
Vallitalea guaymasensis	1185412	S	607	0	607	0.00007
Vallitalea pronyensis	1348613	S	471	0	471	0.00005
Petrocella atlantisensis	2173034	S	656	5	661	0.00007
Christensenella minuta	626937	S	1706	22	1728	0.00019
Cellulosilyticum sp. WCF-2	2497860	S	415	560	975	0.00011
Cellulosilyticum lentocellum	29360	S	184	251	435	0.00005
Candidatus Contubernalis alkalaceticum	338645	S	380	0	380	0.00004
Candidatus Syntrophocurvum alkaliphilum	2293317	S	217	1	218	0.00002
Syntrophomonas wolfei	863	S	188	0	188	0.00002
Syntrophothermus lipocalidus	86170	S	182	0	182	0.00002
Heliomicrobium modesticaldum	35701	S	669	103	772	0.00009
Heliorestis convoluta	356322	S	218	0	218	0.00002
Symbiobacterium thermophilum	2734	S	471	1	472	0.00005
Caldinitratiruptor microaerophilus	671077	S	362	0	362	0.00004
Thermincola potens	863643	S	335	2	337	0.00004
Desulfoscipio gibsoniae	102134	S	326	1	327	0.00004
Desulfotomaculum nigrificans	1565	S	222	4	226	0.00002
Alkalicella caledoniensis	2731377	S	206	0	206	0.00002
Thermoanaerobacterium sp. RBIITD	1550240	S	262	161	423	0.00005
Thermoanaerobacterium sp. CMT5567-10	3061989	S	151	0	151	0.00002
Thermoanaerobacterium thermosaccharolyticum	1517	S	127	108	235	0.00003
Thermoanaerobacterium xylanolyticum	29329	S	92	55	147	0.00002
Aceticella autotrophica	2755338	S	585	0	585	0.00006
Gelria sp. Kuro-4	2796927	S	528	0	528	0.00006
Thermoanaerobacter kivui	2325	S	100	69	169	0.00002
Thermoanaerobacter italicus	108150	S	36	102	138	0.00002
Thermoanaerobacter sp. RKWS2	2983842	S	30	0	30	0.00000
Thermoanaerobacter wiegelii	46354	S	15	39	54	0.00001
Thermoanaerobacter siderophilus	106578	S	13	55	68	0.00001
Thermacetogenium phaeum	85874	S	213	54	267	0.00003
Carboxydothermus hydrogenoformans	129958	S	198	1	199	0.00002
Caldanaerobacter subterraneus	911092	S	134	48	182	0.00002
Ammonifex degensii	42838	S	98	0	98	0.00001
Mahella australiensis	252966	S	354	37	391	0.00004
Thermodesulfobium narugense	184064	S	82	1	83	0.00001
Thermodesulfobium acidiphilum	1794699	S	52	1	53	0.00001
Caldicellulosiruptor diazotrophicus	2806205	S	160	54	214	0.00002
Caldicellulosiruptor naganoensis	29324	S	143	0	143	0.00002
Caldicellulosiruptor morganii	1387555	S	124	0	124	0.00001
Caldicellulosiruptor acetigenus	301953	S	114	97	211	0.00002
Caldicellulosiruptor owensensis	55205	S	113	34	147	0.00002
Caldicellulosiruptor bescii	31899	S	99	125	224	0.00002
Caldicellulosiruptor changbaiensis	1222016	S	80	65	145	0.00002
Caldicellulosiruptor obsidiansis	717609	S	70	23	93	0.00001
Caldicellulosiruptor hydrothermalis	413888	S	39	28	67	0.00001
Caldicellulosiruptor kronotskyensis	413889	S	28	30	58	0.00001
Caldicellulosiruptor saccharolyticus	44001	S	25	17	42	0.00000
Caldicellulosiruptor sp. DIB 104C	3019889	S	20	0	20	0.00000
Moorella thermoacetica	1525	S	444	45	489	0.00005
Moorella sp. Hama-1	2138101	S	325	0	325	0.00004
Moorella glycerini	55779	S	237	39	276	0.00003
Thermanaeromonas toyohensis	161154	S	110	0	110	0.00001
Zhaonella formicivorans	2528593	S	212	0	212	0.00002
Halanaerobium hydrogeniformans	656519	S	142	10	152	0.00002
Halanaerobium praevalens	2331	S	107	16	123	0.00001
Halocella sp. SP3-1	2382161	S	84	20	104	0.00001
Iocasia fonsfrigidae	2682810	S	13	0	13	0.00000
Halobacteroides halobius	42422	S	116	4	120	0.00001
Acetohalobium arabaticum	28187	S	103	1	104	0.00001
Halothermothrix orenii	31909	S	217	135	352	0.00004
Anoxybacter fermentans	1323375	S	209	7	216	0.00002
Biomaibacter acetigenes	2316383	S	297	1	298	0.00003
Tepidanaerobacter acetatoxydans	499229	S	164	0	164	0.00002
Thermosediminibacter oceani	291990	S	276	2	278	0.00003
Natranaerofaba carboxydovora	2742683	S	177	0	177	0.00002
Natranaerobius thermophilus	375929	S	156	0	156	0.00002
Koleobacter methoxysyntrophicus	2751313	S	220	4	224	0.00002
Paenibacillus sp. B01	2660554	S	1010	389	1399	0.00015
Paenibacillus sp. CAA11	1532905	S	865	103	968	0.00011
Paenibacillus sp. BIHB 4019	1870819	S	639	32	671	0.00007
Paenibacillus sp. H1-7	2282849	S	526	0	526	0.00006
Paenibacillus sp. SYP-B4298	2996034	S	461	0	461	0.00005
Paenibacillus sp. RUD330	2023772	S	443	35	478	0.00005
Paenibacillus sp. URB8-2	2741301	S	443	83	526	0.00006
Paenibacillus sp. JDR-2	324057	S	442	33	475	0.00005
Paenibacillus sp. R14(2021)	2859228	S	413	0	413	0.00005
Paenibacillus sp. 32O-W	1695218	S	388	32	420	0.00005
Paenibacillus sp. sptzw28	715179	S	374	0	374	0.00004
Paenibacillus sp. YPD9-1	2908839	S	369	0	369	0.00004
Paenibacillus sp. PHS-Z3	2909671	S	353	0	353	0.00004
Paenibacillus sp. PK3_47	2072642	S	350	0	350	0.00004
Paenibacillus sp. FSL R7-0273	1536772	S	307	60	367	0.00004
Paenibacillus sp. RC67	3039392	S	275	0	275	0.00003
Paenibacillus sp. FSL R7-0331	1536773	S	245	48	293	0.00003
Paenibacillus sp. FSL R5-0912	1536771	S	239	203	442	0.00005
Paenibacillus sp. HWE-109	1306526	S	229	0	229	0.00003
Paenibacillus sp. FSL H7-0357	1536774	S	214	28	242	0.00003
Paenibacillus sp. YPG26	2878915	S	213	0	213	0.00002
Paenibacillus sp. C31	3050112	S	210	0	210	0.00002
Paenibacillus sp. 19GGS1-52	2758563	S	197	0	197	0.00002
Paenibacillus sp. JNUCC-31	2777983	S	164	38	202	0.00002
Paenibacillus sp. PSB04	2866810	S	151	0	151	0.00002
Paenibacillus sp. IHBB 10380	1566358	S	149	22	171	0.00002
Paenibacillus sp. JZ16	1906272	S	148	41	189	0.00002
Paenibacillus sp. 481	2835869	S	141	0	141	0.00002
Paenibacillus sp. N3/727	2925845	S	135	0	135	0.00001
Paenibacillus sp. E222	2748863	S	134	33	167	0.00002
Paenibacillus sp. DCT19	2211212	S	132	18	150	0.00002
Paenibacillus sp. FSL R5-0345	1536770	S	127	59	186	0.00002
Paenibacillus sp. IHB B 3084	867076	S	124	81	205	0.00002
Paenibacillus sp. FSL P4-0081	1536769	S	123	113	236	0.00003
Paenibacillus sp. PAMC21692	2762320	S	120	5	125	0.00001
Paenibacillus sp. KACC 21273	3025665	S	108	0	108	0.00001
Paenibacillus sp. PK4536	3024576	S	108	0	108	0.00001
Paenibacillus sp. FSL H7-0737	1536775	S	101	51	152	0.00002
Paenibacillus sp. G2S3	3047872	S	97	0	97	0.00001
Paenibacillus sp. Y412MC10	481743	S	61	237	298	0.00003
Paenibacillus sp. CC-CFT742	2926710	S	49	0	49	0.00001
Paenibacillus sp. Cedars	1980674	S	48	470	518	0.00006
Paenibacillus sp. JNUCC-32	2777984	S	37	151	188	0.00002
Paenibacillus sp. M-152	2487928	S	36	915	951	0.00010
Paenibacillus sp. PK1-4R	3049075	S	28	0	28	0.00000
Paenibacillus sp. BR1-192	3032287	S	20	0	20	0.00000
Paenibacillus sp. DR312	2871175	S	18	0	18	0.00000
Paenibacillus sp. S02	2823904	S	17	0	17	0.00000
Paenibacillus sp. BT-177	2986930	S	12	0	12	0.00000
Paenibacillus durus	44251	S	1165	137	1302	0.00014
Paenibacillus lycopersici	2704462	S	869	71	940	0.00010
Paenibacillus mucilaginosus	61624	S	798	9	807	0.00009
Paenibacillus macerans	44252	S	609	0	609	0.00007
Paenibacillus konkukensis	2020716	S	519	0	519	0.00006
Paenibacillus albicereus	2726185	S	499	151	650	0.00007
Paenibacillus dendritiformis	130049	S	493	0	493	0.00005
Paenibacillus physcomitrellae	1619311	S	462	194	656	0.00007
Paenibacillus riograndensis	483937	S	203	221	424	0.00005
Paenibacillus sonchi	373687	S	75	91	166	0.00002
Paenibacillus donghaensis	414771	S	449	42	491	0.00005
Paenibacillus rhizovicinus	2704463	S	435	34	469	0.00005
Paenibacillus polymyxa	1406	S	418	2117	2535	0.00028
Paenibacillus azoreducens	116718	S	402	0	402	0.00004
Paenibacillus ihbetae	1870820	S	392	45	437	0.00005
Paenibacillus tianjinensis	2810347	S	390	71	461	0.00005
Paenibacillus elgii	189691	S	390	0	390	0.00004
Paenibacillus stellifer	169760	S	374	64	438	0.00005
Paenibacillus algicola	2565926	S	369	34	403	0.00004
Paenibacillus guangzhouensis	1473112	S	354	24	378	0.00004
Paenibacillus thiaminolyticus	49283	S	347	23	370	0.00004
Paenibacillus andongensis	2975482	S	343	0	343	0.00004
Paenibacillus chitinolyticus	79263	S	338	24	362	0.00004
Paenibacillus lutimineralis	2707005	S	333	30	363	0.00004
Paenibacillus protaetiae	2509456	S	333	27	360	0.00004
Paenibacillus tritici	1873425	S	324	0	324	0.00004
Paenibacillus woosongensis	307580	S	317	0	317	0.00003
Paenibacillus albus	2495582	S	310	24	334	0.00004
Paenibacillus cellulositrophicus	562959	S	308	17	325	0.00004
Paenibacillus yonginensis	1462996	S	296	145	441	0.00005
Paenibacillus beijingensis	1126833	S	290	20	310	0.00003
Paenibacillus sabinae	365617	S	283	54	337	0.00004
Paenibacillus bovis	1616788	S	265	37	302	0.00003
Paenibacillus odorifer	189426	S	253	48	301	0.00003
Paenibacillus borealis	160799	S	251	99	350	0.00004
Paenibacillus swuensis	1178515	S	232	19	251	0.00003
Paenibacillus jilunlii	682956	S	229	191	420	0.00005
Paenibacillus sophorae	1333845	S	228	0	228	0.00003
Paenibacillus psychroresistens	1778678	S	227	7	234	0.00003
Paenibacillus brasilensis	128574	S	224	110	334	0.00004
Paenibacillus urinalis	521520	S	221	0	221	0.00002
Paenibacillus antarcticus	253703	S	219	26	245	0.00003
Paenibacillus naphthalenovorans	162209	S	215	18	233	0.00003
Paenibacillus graminis	189425	S	207	128	335	0.00004
Paenibacillus crassostreae	1763538	S	205	24	229	0.00003
Paenibacillus agaridevorans	171404	S	204	0	204	0.00002
Paenibacillus cellulosilyticus	375489	S	202	17	219	0.00002
Paenibacillus lentus	1338368	S	199	11	210	0.00002
Paenibacillus marchantiae	3026433	S	197	0	197	0.00002
Paenibacillus barcinonensis	198119	S	190	23	213	0.00002
Paenibacillus larvae	1464	S	154	18815	18969	0.00209
Paenibacillus kribbensis	172713	S	151	57	208	0.00002
Paenibacillus peoriae	59893	S	142	1632	1774	0.00020
Paenibacillus baekrokdamisoli	1712516	S	124	8	132	0.00001
Paenibacillus alvei	44250	S	117	8	125	0.00001
Paenibacillus lautus	1401	S	103	204	307	0.00003
Paenibacillus xylanexedens	528191	S	82	67	149	0.00002
Paenibacillus uliginis	683737	S	80	5	85	0.00001
Paenibacillus pabuli	1472	S	77	0	77	0.00001
Paenibacillus kyungheensis	1452732	S	77	0	77	0.00001
Paenibacillus terrae	159743	S	67	35	102	0.00001
Paenibacillus amylolyticus	1451	S	61	0	61	0.00001
Paenibacillus xylanilyticus	248903	S	43	6	49	0.00001
Paenibacillus glucanolyticus	59843	S	40	398	438	0.00005
Brevibacillus sp. WF146	319501	S	485	0	485	0.00005
Brevibacillus sp. BB3-R1	2950604	S	203	0	203	0.00002
Brevibacillus sp. DP1.3A	2738867	S	59	0	59	0.00001
Brevibacillus sp. NSP2.1	3003229	S	55	0	55	0.00001
Brevibacillus sp. JNUCC-41	2778370	S	23	42	65	0.00001
Brevibacillus brevis	1393	S	564	202	766	0.00008
Brevibacillus humidisoli	2895522	S	252	0	252	0.00003
Brevibacillus laterosporus	1465	S	219	839	1058	0.00012
Brevibacillus marinus	2496837	S	206	13	219	0.00002
Brevibacillus choshinensis	54911	S	205	20	225	0.00002
Brevibacillus composti	2796470	S	204	36	240	0.00003
Brevibacillus parabrevis	54914	S	118	0	118	0.00001
Brevibacillus agri	51101	S	104	12	116	0.00001
Brevibacillus formosus	54913	S	83	104	187	0.00002
Brevibacillus aydinogluensis	927786	S	21	0	21	0.00000
